PointLabel,PointCode,LabelSection,Longitude,Latitude,Elevation,DeltaTime
noise,1,1,113.566500310407,34.5039271497257,257.0392,31550946.1320423
noise,1,1,113.566501132745,34.503931539273,170.0819,31550946.1320423
noise,1,1,113.566499541483,34.5039334654271,258.9695,31550946.1321423
noise,1,1,113.566500076182,34.5039363195726,202.4281,31550946.1321423
noise,1,1,113.56649873605,34.5039395862443,264.7663,31550946.1322423
noise,1,1,113.566499013003,34.5039410646212,235.4796,31550946.1322423
photon,0,1,113.566499628841,34.5039443520499,170.3575,31550946.1322423
noise,1,1,113.566499954387,34.5039460900002,135.9319,31550946.1322423
noise,1,1,113.566499762245,34.503945064359,156.2494,31550946.1322423
noise,1,1,113.566498648229,34.5039495369693,194.6899,31550946.1323423
noise,1,1,113.566499851153,34.5039559586574,67.48642,31550946.1323423
noise,1,1,113.566497200257,34.503952227236,268.4489,31550946.1324423
noise,1,1,113.566497909309,34.5039560127791,193.4651,31550946.1324423
photon,0,1,113.566498149084,34.5039572924978,168.1118,31550946.1324423
noise,1,1,113.566499100937,34.5039623737984,67.45887,31550946.1324423
noise,1,1,113.56649600193,34.503966669429,236.47,31550946.1326423
noise,1,1,113.566496829564,34.503971087527,148.951,31550946.1326423
noise,1,1,113.566497535301,34.5039748551111,74.32249,31550946.1326423
noise,1,1,113.566495322446,34.503973462464,228.9776,31550946.1327423
noise,1,1,113.566495203901,34.5039728293036,241.516,31550946.1327423
photon,0,1,113.566495855314,34.5039763069528,172.6293,31550946.1327423
photon,0,1,113.566495854346,34.5039763018223,172.7314,31550946.1327423
noise,1,1,113.566494104728,34.5039773807735,278.4195,31550946.1328423
noise,1,1,113.566494355449,34.503978719338,251.905,31550946.1328423
noise,1,1,113.56649398973,34.5039871859456,211.2546,31550946.1329423
noise,1,1,113.5664941302,34.5039879357148,196.4011,31550946.1329423
photon,0,1,113.566494376326,34.5039892495225,170.3748,31550946.1329423
photon,0,1,113.566494392776,34.5039893375203,168.6339,31550946.1329423
noise,1,1,113.566494722435,34.5039910972992,133.7743,31550946.1329423
noise,1,1,113.566494704104,34.5039909993309,135.7136,31550946.1329423
