PointLabel,PointCode,LabelSection,Longitude,Latitude,Elevation,DeltaTime
photon,0,1,113.58589768717,34.6453806694911,189.1371,31550948.6296423
noise,1,1,113.585907438139,34.6453817730992,85.21867,31550948.6296423
photon,0,1,113.585896942803,34.6453870509683,188.9601,31550948.6297423
noise,1,1,113.585902438426,34.6453876731108,130.3913,31550948.6297423
noise,1,1,113.585906965013,34.6453881853823,82.15087,31550948.6297423
noise,1,1,113.58589464896,34.6453932573325,205.2976,31550948.6298423
noise,1,1,113.5858862286,34.6454052366619,278.8238,31550948.6300423
photon,0,1,113.585894564915,34.6454061800287,189.979,31550948.6300423
noise,1,1,113.585902080676,34.6454070307399,109.8812,31550948.6300423
noise,1,1,113.585889951779,34.6454121239066,231.0385,31550948.6301423
photon,0,1,113.585893059555,34.6454189401138,189.8158,31550948.6302423
noise,1,1,113.585896649852,34.6454258127954,143.4501,31550948.6303423
noise,1,1,113.585900612933,34.6454262613866,101.2147,31550948.6303423
noise,1,1,113.585885456026,34.6454310122775,254.6468,31550948.6304423
noise,1,1,113.585893733952,34.6454382610663,157.9418,31550948.6305423
noise,1,1,113.585882733701,34.6454434932619,267.103,31550948.6306423
noise,1,1,113.585885032742,34.6454437534767,242.6005,31550948.6306423
photon,0,1,113.585889386527,34.6454507228808,188.1275,31550948.6307423
noise,1,1,113.585897142664,34.6454516006971,105.4679,31550948.6307423
noise,1,1,113.585879121835,34.6454560380535,289.4537,31550948.6308423
noise,1,1,113.585882242193,34.6454563912663,256.1976,31550948.6308423
noise,1,1,113.585891060144,34.6454573892239,162.2201,31550948.6308423
noise,1,1,113.585889433084,34.6454572052133,179.5601,31550948.6308423
noise,1,1,113.585879165348,34.6454625198208,280.9201,31550948.6309423
noise,1,1,113.585885468358,34.6454632331445,213.7448,31550948.6309423
noise,1,1,113.585895283811,34.6454643441242,109.1378,31550948.6309423
photon,0,1,113.58588697558,34.6454698808983,189.6131,31550948.6310423
noise,1,1,113.585885433471,34.6454761831332,197.9815,31550948.6311423
photon,0,1,113.585884782376,34.6454890638764,188.7906,31550948.6313423
noise,1,1,113.585884074791,34.6454889837284,196.3317,31550948.6313423
noise,1,1,113.585887403638,34.6454893605446,160.8547,31550948.6313423
noise,1,1,113.58588797802,34.645489425687,154.7331,31550948.6313423
noise,1,1,113.58589170679,34.6454898475546,114.9947,31550948.6313423
noise,1,1,113.585877272018,34.645494691083,260.7701,31550948.6314423
noise,1,1,113.585884711717,34.645495533104,181.4809,31550948.6314423
noise,1,1,113.585889392986,34.6454960627526,131.591,31550948.6314423
noise,1,1,113.585893226009,34.6454964966809,90.7415,31550948.6314423
noise,1,1,113.585892936475,34.6454964638503,93.82719,31550948.6314423
photon,0,1,113.585883435603,34.6455018660771,187.0194,31550948.6315423
photon,0,1,113.585881983825,34.6455081789066,194.4319,31550948.6316423
noise,1,1,113.585883653339,34.6455083678796,176.6391,31550948.6316423
noise,1,1,113.585872658244,34.6455136009163,285.7619,31550948.6317423
noise,1,1,113.585885927332,34.6455151028102,144.3454,31550948.6317423
noise,1,1,113.585876901903,34.6455270369651,224.4196,31550948.6319423
noise,1,1,113.585883108259,34.6455277396048,158.2751,31550948.6319423
noise,1,1,113.585888658215,34.6455348451777,91.07346,31550948.6320423
noise,1,1,113.585887284952,34.6455346897777,105.7085,31550948.6320423
noise,1,1,113.585869805046,34.6455391890418,283.9477,31550948.6321423
noise,1,1,113.585870685771,34.6455392886185,274.5612,31550948.6321423
photon,0,1,113.585878946199,34.645540223588,186.5245,31550948.6321423
noise,1,1,113.585882092894,34.6455405797273,152.9888,31550948.6321423
noise,1,1,113.585885056183,34.6455409153028,121.4079,31550948.6321423
noise,1,1,113.585867410326,34.6455518735468,293.3673,31550948.6323423
noise,1,1,113.585875060118,34.645552739363,211.838,31550948.6323423
noise,1,1,113.585881765992,34.6455534983471,140.3704,31550948.6323423
noise,1,1,113.585884177856,34.6455537713219,114.6664,31550948.6323423
noise,1,1,113.585869622258,34.6455586014819,261.7439,31550948.6324423
noise,1,1,113.585872709294,34.6455654289194,220.7952,31550948.6325423
noise,1,1,113.585866509988,34.645571205734,278.8183,31550948.6326423
