PointLabel,PointCode,LabelSection,Longitude,Latitude,Elevation,DeltaTime
photon,0,1,113.417741719725,34.393714403879,310.8302,55091305.8865664
photon,0,1,113.417739964169,34.3937271486189,310.6841,55091305.8867664
photon,0,1,113.417738884854,34.3937334961479,310.0549,55091305.8868664
photon,0,1,113.417737265002,34.393746256546,310.2854,55091305.8870664
photon,0,1,113.417736514871,34.3937655994472,315.2715,55091305.8873664
photon,0,1,113.417731813251,34.3937974193746,314.0582,55091305.8878664
photon,0,1,113.417730992849,34.3938037977926,314.1477,55091305.8879664
photon,0,1,113.417726929682,34.3938227385151,309.9948,55091305.8882664
photon,0,1,113.417726810921,34.3938227240733,309.6668,55091305.8882664
photon,0,1,113.417728188096,34.3938228910247,313.4697,55091305.8882664
photon,0,1,113.41772349197,34.3938482326954,309.9297,55091305.8886664
photon,0,1,113.417725574467,34.3938484848979,315.6802,55091305.8886664
photon,0,1,113.417721741098,34.3938609749873,309.8107,55091305.8888664
photon,0,1,113.417721604597,34.393860958907,309.4339,55091305.8888664
photon,0,1,113.417721820532,34.3938609846467,310.0301,55091305.8888664
photon,0,1,113.417721042694,34.3938673678128,310.2407,55091305.8889664
noise,1,1,113.417614629281,34.3938544959564,16.41569,55091305.8889664
photon,0,1,113.417719140774,34.3938800919309,309.7069,55091305.8891664
photon,0,1,113.417719428762,34.3938801269513,310.5022,55091305.8891664
photon,0,1,113.417718044202,34.3938864362664,309.0385,55091305.8892664
photon,0,1,113.417713609821,34.3939182823642,308.5963,55091305.8897664
photon,0,1,113.41771279348,34.393924660554,308.7039,55091305.8898664
photon,0,1,113.417713379689,34.3939247313204,310.3225,55091305.8898664
photon,0,1,113.417714167773,34.3939377809187,317.2235,55091305.8900664
photon,0,1,113.417705668643,34.3939626594045,303.2087,55091305.8904664
photon,0,1,113.417706135473,34.3939627161726,304.4979,55091305.8904664
photon,0,1,113.417709099841,34.3939630745749,312.6832,55091305.8904664
photon,0,1,113.417702763936,34.3939882147384,304.6479,55091305.8908664
photon,0,1,113.417699774675,34.394007283311,303.4929,55091305.8911664
photon,0,1,113.417701825433,34.3940075316523,309.1556,55091305.8911664
photon,0,1,113.417699161977,34.3940136854904,304.1681,55091305.8912664
photon,0,1,113.417694757837,34.3940455351846,303.8483,55091305.8917664
photon,0,1,113.417693751031,34.394051889857,303.4377,55091305.8918664
photon,0,1,113.417691963261,34.3940646271261,303.2415,55091305.8920664
photon,0,1,113.417690647562,34.3940774212959,304.3502,55091305.8922664
photon,0,1,113.417686229244,34.3940963157902,299.2654,55091305.8925664
noise,1,1,113.417808007914,34.3941175225757,637.9127,55091305.8926664
photon,0,1,113.417687259781,34.3941093932086,306.8565,55091305.8927664
photon,0,1,113.417686631124,34.3941157913846,307.4932,55091305.8928664
noise,1,1,113.417793469551,34.3941481443684,609.6334,55091305.8931664
photon,0,1,113.417682606368,34.3941347342316,303.5026,55091305.8931664
photon,0,1,113.417678510938,34.3941407148942,294.5691,55091305.8932664
photon,0,1,113.417679880061,34.3941538339792,303.1009,55091305.8934664
photon,0,1,113.417676220766,34.3941598681795,295.3732,55091305.8935664
photon,0,1,113.417673701126,34.3941725160574,293.1694,55091305.8937664
photon,0,1,113.41767396891,34.394179024716,296.2861,55091305.8938664
photon,0,1,113.417672045419,34.3941917456333,295.7311,55091305.8940664
photon,0,1,113.417668700929,34.3942042938411,291.2539,55091305.8942664
photon,0,1,113.417664066705,34.394242593282,292.7406,55091305.8948664
photon,0,1,113.417660299736,34.3942615682145,289.4864,55091305.8951664
photon,0,1,113.417666190147,34.3942752335833,310.517,55091305.8953664
photon,0,1,113.417657665643,34.394280680068,289.3637,55091305.8954664
photon,0,1,113.417653375828,34.3943060683523,287.0584,55091305.8958664
photon,0,1,113.417649364777,34.3943444428388,290.3041,55091305.8964664
photon,0,1,113.417646371728,34.3943570353943,286.8171,55091305.8966664
photon,0,1,113.417645524389,34.394363410628,286.8669,55091305.8967664
photon,0,1,113.41764473459,34.3943697919275,287.0756,55091305.8968664
photon,0,1,113.417642857942,34.3943825194759,286.6743,55091305.8970664
photon,0,1,113.417642109906,34.3943889064436,286.9997,55091305.8971664
photon,0,1,113.417640352627,34.3944016483113,286.9303,55091305.8973664
